coin_id,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,price_change_percentage_200d,price_change_percentage_1y
bitcoin,0.5085293658401342,0.4931930706237795,0.7722004332891461,0.23545963323469243,-0.06749509626832181,83.5184,-0.2516368820197868
ethereum,0.185445893643953,0.9344450402613926,0.5586921208689706,-0.05434093168912121,-0.27348272537129126,186.77418,-0.1993521104709917
tether,0.02177396162122368,-0.7063368531568254,-0.021680420730599802,-0.06103015356222094,0.008004524805563963,-0.00542,-0.28206050575623215
ripple,-0.040764382931751254,-0.8109280657716432,0.24945797416123683,-0.05038796511514076,-0.37316401868233073,39.53888,-0.2955461424630444
bitcoin-cash,1.1930360799166915,2.000959067401844,1.7606100087732968,0.5458420645629487,-0.2912028704525387,21.66042,-0.2703169504999635
binancecoin,0.8918707082925429,1.3272945324193588,0.8002141838472081,-0.0571478992038357,0.7786531064375697,155.61937,-0.2255326048095607
chainlink,0.01139724002712799,2.5722509094400743,1.1016469258415247,-0.4904954147024988,-0.9319540229351091,403.22917,-0.018284399525623
cardano,0.10252980183305811,1.5080014557070822,0.6488850611552858,0.32895924461098786,-0.4863488991452572,264.51418,-0.1554284163177786
litecoin,0.07749718199907565,0.3342965619069238,0.8585198643413016,-0.012646472957752217,-0.3664769899998123,27.49919,-0.29235121358455646
bitcoin-cash-sv,0.4489515052176978,-0.19068427753077855,-0.24804322432535353,0.05163400546245649,-0.529666139316004,7.42562,-0.2060289467298429
crypto-com-chain,0.33127978289739696,-1.6148436851205172,-1.054521141292883,-0.729931204068619,-0.3501553818746052,226.70782,-0.03457021653072343
usd-coin,0.03435226136670969,-0.7330257877190796,-0.023140389265659075,-0.06577517381197173,0.002924648709392238,-0.15691,-0.28223217684614144
eos,0.15570956076297282,-0.9224908613168608,0.11502363636301774,-0.23748826021937042,-0.6428366988288992,18.06111,-0.2963295708122877
monero,0.2627227895414744,1.7926024333165835,2.2026650346746925,1.4378424611053742,0.89386493569373,169.52147,-0.16764425165078148
tron,0.13004952872543712,-0.041017572912210414,0.14715502996656574,-0.5437763005424557,0.12011576150718976,132.88436,-0.23401412538911665
tezos,-0.151583411483902,0.7081957353613685,0.2580123262234468,-0.6022960392247715,-0.9560487007444608,43.42842,-0.16847860771075598
okb,-0.9232027409124857,-1.437358935355751,-0.6299627747309348,-0.46055801473039326,-0.05850389084942658,39.95853,-0.1669004571818825
stellar,-0.2775429860259896,-0.38520890994775175,-0.15324316478767583,-0.37181648999151296,-0.6564033409100283,84.62157,-0.27087408845889255
cosmos,-0.2559780396284121,1.8402744032454368,0.643564877801535,0.11653821174087735,-0.15191282179228638,185.99786,-0.21519097738388912
cdai,0.18085113241673395,-0.7049314201514941,-0.001816146854578033,-0.14323694724685626,0.016060379816445737,-0.3921,-0.28230988683712166
neo,0.28654566847998303,-0.32630141627571435,-1.2126702991200202,-0.9031338586697517,0.2909698252729614,158.64773,-0.17555042783794
wrapped-bitcoin,0.5154534418350358,0.46184318027548343,0.7699754315730499,0.22404537499885793,-0.07467416714445241,83.9052,-0.2516233894623635
leo-token,0.05175825381618301,-0.9283809754601073,-0.8719175105035029,0.05878170382036651,-0.15924963686428395,16.40588,-0.2650361193014634
huobi-token,-0.052031503880590114,-0.45722901415653394,0.032522119716700285,-0.18448868601971607,-0.07080900685466561,42.23704,-0.2621404444746894
nem,-0.2179839102000668,-0.8493813480214603,0.2976321014852955,-0.19982017041621383,1.7731272360368855,216.17761,-0.11922616471373808
binance-usd,0.061338500038103344,-0.7066687576744686,-0.015320855803876357,-0.05869357600342246,0.004017315822226954,0.09959,-0.281963356097431
iota,0.2590973238143556,0.249508456158184,-0.4789527180102505,-0.21899663153570156,-0.7358151462887291,95.02821,-0.2853098105336081
vechain,0.5850886825108373,-0.9942314669844697,-2.217108105325989,-0.603897824630211,-0.9304229637548989,269.70264,-0.1174815437740343
zcash,-0.12746748971978175,0.9291186873801716,0.6775321093229265,0.22383400696311137,-0.43706773139581034,122.54767,-0.21482858497867677
theta-token,-1.6121877504778777,-1.6820265588951315,-0.8169209308777806,1.1486068252952832,1.7126411004883344,882.65105,0.2869769071007242
dash,-0.2969401669059013,0.09476313600170748,0.0400395073723863,-0.358829653569724,-0.5585273422850221,6.23435,-0.28407141606887004
ethereum-classic,-0.07131221902211766,-0.22948375683727598,-0.17554394244406143,0.051882266828078824,-0.5517599452859102,10.39203,-0.27306162713900173
ethlend,-4.981041886343489,-0.04517828983194782,-1.2069561176351196,-1.212125872628315,0.04773554259384977,2227.92782,6.088625454881483
maker,-0.12516823062652085,0.5807301080473533,-0.20235636127708298,0.5829110220611436,-0.39592300071936165,82.53544,-0.2734333418223135
havven,-1.4285738784763433,-0.025510168056777083,-1.6288592268530897,-0.8603537368456844,-0.8407135403216132,622.92465,0.2686473773718841
omisego,1.9198123431080827,0.3704471573118481,-1.6197610123399058,-0.40971631602295167,1.696480442741837,585.26307,-0.021887812943250897
celsius-degree-token,1.04553034377354,-0.6183281619450218,2.9070539266782682,5.351454612662935,4.769912781178204,1590.19149,1.3484883901540017
ontology,-0.4090440755395802,-0.906962811682818,-1.2989861044225026,-1.3931526033017467,-0.6969369731366347,54.76717,-0.2923437898382893
ftx-token,0.41471057813276374,0.4140441655551877,-0.04738577733008306,-0.46537989608405195,0.12818465499496567,57.4895,-0.14546927814923605
true-usd,0.07803818413866645,-0.6877454359891285,-0.009190921689786406,-0.05821434702055705,0.007388296463173023,-0.08874,-0.2817468179945628
digibyte,1.2174525584250289,-0.6077135696200124,-0.9070655278351203,0.44993900646745494,-0.6625295013405752,482.58918,-0.132481673399652
